CLB1 RESOURCE38418
CLB10 RESOURCE39375
CLB100 RESOURCE25841
CLB1000 RESOURCE28019
CLB10000 RESOURCE54006
CLB10001 RESOURCE49588
CLB10002 RESOURCE46142
CLB10003 RESOURCE48534
CLB10004 RESOURCE46145
CLB10005 RESOURCE46623
CLB10006 RESOURCE39997
CLB10007 RESOURCE40479
CLB10008 RESOURCE39038
CLB10009 RESOURCE42494
CLB1001 RESOURCE43473
CLB10010 RESOURCE42016
CLB10011 RESOURCE42014
CLB10012 RESOURCE40478
CLB10013 RESOURCE43647
CLB10014 RESOURCE44127
CLB10015 RESOURCE43646
CLB10016 RESOURCE43648
CLB10017 RESOURCE46516
CLB10018 RESOURCE43166
CLB10019 RESOURCE40001
CLB1002 RESOURCE43954
CLB10020 RESOURCE39039
CLB10021 RESOURCE44126
CLB10022 RESOURCE44702
CLB10023 RESOURCE43649
CLB10024 RESOURCE44704
CLB10025 RESOURCE40476
CLB10026 RESOURCE39035
CLB10027 RESOURCE39036
CLB10028 RESOURCE41439
CLB10029 RESOURCE44705
CLB1003 RESOURCE41264
CLB10030 RESOURCE44128
CLB10031 RESOURCE44706
CLB10032 RESOURCE40480
CLB10033 RESOURCE44130
CLB10034 RESOURCE45187
CLB10035 RESOURCE45665
CLB10036 RESOURCE38554
CLB10037 RESOURCE40473
CLB10038 RESOURCE42496
CLB10039 RESOURCE44132
CLB1004 RESOURCE41265
CLB10040 RESOURCE39999
CLB10041 RESOURCE38077
CLB10042 RESOURCE39992
CLB10043 RESOURCE41440
CLB10044 RESOURCE39991
CLB10045 RESOURCE37599
CLB10046 RESOURCE40470
CLB10047 RESOURCE39520
CLB10048 RESOURCE36541
CLB10049 RESOURCE43057
CLB1005 RESOURCE41843
CLB10050 RESOURCE44703
CLB10051 RESOURCE45184
CLB10052 RESOURCE44707
CLB10053 RESOURCE43651
CLB10054 RESOURCE45186
CLB10055 RESOURCE40481
CLB10056 RESOURCE42489
CLB10057 RESOURCE36542
CLB10058 RESOURCE39522
CLB10059 RESOURCE42490
CLB1006 RESOURCE63960
CLB10060 RESOURCE41434
CLB10061 RESOURCE38079
CLB10062 RESOURCE36061
CLB10063 RESOURCE36543
CLB10064 RESOURCE46624
CLB10065 RESOURCE43642
CLB10066 RESOURCE45667
CLB10067 RESOURCE46625
CLB10068 RESOURCE38080
CLB10069 RESOURCE44594
CLB1007 RESOURCE43953
CLB10070 RESOURCE38561
CLB10071 RESOURCE38551
CLB10072 RESOURCE39514
CLB10073 RESOURCE39515
CLB10074 RESOURCE35580
CLB10075 RESOURCE43058
CLB10076 RESOURCE44592
CLB10077 RESOURCE42019
CLB10078 RESOURCE44131
CLB10079 RESOURCE40963
CLB1008 RESOURCE45009
CLB10080 RESOURCE47106
CLB10081 RESOURCE45074
CLB10082 RESOURCE39029
CLB10083 RESOURCE41432
CLB10084 RESOURCE44017
CLB10085 RESOURCE36063
CLB10086 RESOURCE36544
CLB10087 RESOURCE46034
CLB10088 RESOURCE42389
CLB10089 RESOURCE44709
CLB1009 RESOURCE43474
CLB10090 RESOURCE45669
CLB10091 RESOURCE43056
CLB10092 RESOURCE47107
CLB10093 RESOURCE46146
CLB10094 RESOURCE47584
CLB10095 RESOURCE47586
CLB10096 RESOURCE44708
CLB10097 RESOURCE47108
CLB10098 RESOURCE43653
CLB10099 RESOURCE42386
CLB101 RESOURCE24396
CLB1010 RESOURCE42995
CLB10100 RESOURCE48547
CLB10101 RESOURCE47587
CLB10102 RESOURCE49122
CLB10103 RESOURCE44134
CLB10104 RESOURCE43539
CLB10105 RESOURCE50082
CLB10106 RESOURCE49124
CLB10107 RESOURCE49603
CLB10108 RESOURCE50079
CLB10109 RESOURCE49605
CLB1011 RESOURCE62520
CLB10110 RESOURCE50083
CLB10111 RESOURCE44710
CLB10112 RESOURCE50084
CLB10113 RESOURCE49604
CLB10114 RESOURCE49126
CLB10115 RESOURCE51044
CLB10116 RESOURCE51043
CLB10117 RESOURCE45661
CLB10118 RESOURCE43055
CLB10119 RESOURCE43059
CLB1012 RESOURCE43955
CLB10120 RESOURCE42388
CLB10121 RESOURCE52000
CLB10122 RESOURCE50564
CLB10123 RESOURCE52580
CLB10124 RESOURCE51529
CLB10125 RESOURCE50565
CLB10126 RESOURCE52582
CLB10127 RESOURCE51999
CLB10128 RESOURCE50569
CLB10129 RESOURCE51049
CLB1013 RESOURCE44533
CLB10130 RESOURCE52011
CLB10131 RESOURCE51524
CLB10132 RESOURCE51526
CLB10133 RESOURCE53544
CLB10134 RESOURCE55945
CLB10135 RESOURCE54984
CLB10136 RESOURCE56997
CLB10137 RESOURCE42387
CLB10138 RESOURCE59589
CLB10139 RESOURCE52008
CLB1014 RESOURCE44530
CLB10140 RESOURCE53546
CLB10141 RESOURCE55462
CLB10142 RESOURCE52583
CLB10143 RESOURCE53061
CLB10144 RESOURCE52581
CLB10145 RESOURCE52006
CLB10146 RESOURCE57477
CLB10147 RESOURCE54505
CLB10148 RESOURCE53058
CLB10149 RESOURCE53537
CLB1015 RESOURCE43475
CLB10150 RESOURCE53066
CLB10151 RESOURCE52010
CLB10152 RESOURCE43172
CLB10153 RESOURCE43174
CLB10154 RESOURCE42504
CLB10155 RESOURCE53064
CLB10156 RESOURCE59590
CLB10157 RESOURCE54024
CLB10158 RESOURCE53062
CLB10159 RESOURCE54022
CLB1016 RESOURCE45010
CLB10160 RESOURCE53542
CLB10161 RESOURCE55463
CLB10162 RESOURCE53543
CLB10163 RESOURCE54023
CLB10164 RESOURCE54021
CLB10165 RESOURCE52576
CLB10166 RESOURCE56421
CLB10167 RESOURCE54020
CLB10168 RESOURCE53057
CLB10169 RESOURCE41322
CLB1017 RESOURCE43956
CLB10170 RESOURCE53538
CLB10171 RESOURCE54982
CLB10172 RESOURCE50567
CLB10173 RESOURCE54981
CLB10174 RESOURCE54026
CLB10175 RESOURCE52003
CLB10176 RESOURCE51998
CLB10177 RESOURCE54018
CLB10178 RESOURCE55460
CLB10179 RESOURCE54013
CLB1018 RESOURCE42322
CLB10180 RESOURCE54988
CLB10181 RESOURCE56429
CLB10182 RESOURCE41323
CLB10183 RESOURCE53069
CLB10184 RESOURCE54989
CLB10185 RESOURCE53545
CLB10186 RESOURCE55936
CLB10187 RESOURCE55946
CLB10188 RESOURCE53534
CLB10189 RESOURCE52574
CLB1019 RESOURCE40305
CLB10190 RESOURCE56425
CLB10191 RESOURCE56420
CLB10192 RESOURCE56419
CLB10193 RESOURCE54976
CLB10194 RESOURCE55456
CLB10195 RESOURCE55457
CLB10196 RESOURCE54975
CLB10197 RESOURCE54495
CLB10198 RESOURCE56418
CLB10199 RESOURCE54016
CLB102 RESOURCE23916
CLB1020 RESOURCE41269
CLB10200 RESOURCE53535
CLB10201 RESOURCE53055
CLB10202 RESOURCE56993
CLB10203 RESOURCE56990
CLB10204 RESOURCE57473
CLB10205 RESOURCE54497
CLB10206 RESOURCE55459
CLB10207 RESOURCE55942
CLB10208 RESOURCE55455
CLB10209 RESOURCE56992
CLB1021 RESOURCE40306
CLB10210 RESOURCE55935
CLB10211 RESOURCE56422
CLB10212 RESOURCE54492
CLB10213 RESOURCE56988
CLB10214 RESOURCE54496
